gene_id,Product Description ,,FC DOZI/WT,Confidence,PF ID,PF Product Description,Manual Annotation,CITH,DOZI,DOZI/CITH in mosquito and liver stages,,Molecular Function,Biological Process,Cellular Component,Molecular Function,Biological Process,Cellular Component
PBANKA_030510,serine repeat antigen 1 (SERA1),,,,PF3D7_0207400,serine repeat antigen 7 (SERA7),protease,1,0,1,not different from wild type,cysteine-type peptidase activity,proteolysis,null,,,
PBANKA_131370,"serine/threonine protein kinase, putative",,,,PF3D7_1450000,"serine/threonine protein kinase, putative",kinase,1,0,1,KO not successful,"ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_141360,"serine/threonine protein kinase, putative",,,,PF3D7_1315100,serine/threonine protein kinase (PK9),kinase,1,0,1,KO not successful,"ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_093250,"SET domain protein, putative",,-6.41,0.75,PF3D7_1115200,"SET domain protein, putative (SET7)",chromatin modifying prtoeins,1,0,1,na,null,null,null,"methyltransferase activity, zinc ion binding",null,"cytoplasm, nucleus"
PBANKA_136300,"small nuclear ribonucleoprotein E, putative (SNRPE)",,,,PF3D7_1350200,"small nuclear ribonucleoprotein E, putative (SNRPE)",mRNA,1,0,1,na,null,null,null,null,"RNA processing, RNA splicing, via transesterification reactions",small nucleolar ribonucleoprotein complex
PBANKA_081100,"small nuclear ribonucleoprotein Sm D3, putative (SNRPD3)",,,,PF3D7_0909800,"small nuclear ribonucleoprotein Sm D3, putative (SNRPD3)",mRNA,1,0,1,na,null,null,null,null,null,null
PBANKA_102790,"small nuclear ribonucleoprotein-associated protein B, putative (SNRPB)",,,,PF3D7_1414800,"small nuclear ribonucleoprotein-associated protein B, putative (SNRPB)",mRNA,1,0,1,na,null,null,null,null,RNA splicing,spliceosomal complex
PBANKA_102320,"splicing factor 3B subunit 4, putative (SF3B4)",,,,PF3D7_1420000,"splicing factor 3B subunit 4, putative (SF3B4)",mRNA,1,0,1,na,nucleic acid binding,null,null,,,
PBANKA_113680,"SUMO ligase, putative",,,,PF3D7_1360700,"SUMO ligase, putative",sumoylation,1,0,1,na,zinc ion binding,null,null,,,
PBANKA_112240,"superoxide dismutase, putative",,,,PF3D7_0623500,superoxide dismutase (SOD2),redoxmeth,1,0,1,na,"metal ion binding, superoxide dismutase activity","oxidation-reduction process, superoxide metabolic process",null,,,
PBANKA_101850,"transcription factor 3b, putative",,,,PF3D7_1426100,"basic transcription factor 3b, putative",transcription,1,0,1,na,null,null,null,null,null,"nascent polypeptide-associated complex, transcription factor complex"
PBANKA_130580,"transcription factor TFIIH complex subunit Tfb5, putative",,,,PF3D7_1441900,"transcription factor TFIIH complex subunit Tfb5, putative",transcription,1,0,1,na,DNA binding,nucleotide-excision repair,null,,,
PBANKA_131970,"transcription factor with AP2 domain(s), putative (ApiAP2)",,,,PF3D7_1456000,transcription factor with AP2 domain(s) (ApiAP2),transcription,1,0,1,na,sequence-specific DNA binding transcription factor activity,"regulation of transcription, DNA-dependent",null,,,
PBANKA_123690,"transcription initiation factor tfiid subunit 10, putative (TAF10)",,,,PF3D7_0522200,"conserved Plasmodium protein, unknown function",unknown function,1,0,1,na,null,null,null,null,null,cytoplasm
PBANKA_134160,"translation initiation factor EIF-2B gamma subunit, putative",,,,PF3D7_1326400,"translation initiation factor EIF-2B gamma subunit, putative",translation,1,0,1,na,transferase activity,null,null,,,
PBANKA_093990,"U6 snRNA-associated Sm-like protein LSm4, putative (LSM4)",,,,PF3D7_1107000,"U6 snRNA-associated Sm-like protein LSm4, putative (LSM4)",mRNA,1,0,1,na,null,null,null,null,null,null
PBANKA_060760,"U6 snRNA-associated Sm-like protein LSm7, putative (LSM7)",,,,PF3D7_1209200,"U6 snRNA-associated Sm-like protein LSm7, putative (LSM7)",mRNA,1,0,1,na,null,null,null,null,"RNA splicing, via transesterification reactions, nuclear mRNA splicing, via spliceosome","nucleus, small nucleolar ribonucleoprotein complex, spliceosomal complex"
PBANKA_101770,"ubiquinol-cytochrome c reductase hinge protein, putative",,,,PF3D7_1426900,"ubiquinol-cytochrome c reductase hinge protein, putative",redoxmeth,1,0,1,na,ubiquinol-cytochrome-c reductase activity,"mitochondrial electron transport, ubiquinol to cytochrome c",null,,,
PBANKA_124200,"ubiquitin carboxyl-terminal hydrolase, putative",,,,PF3D7_0527200,"ubiquitin carboxyl-terminal hydrolase, putative",proteasome,1,0,1,na,ubiquitin thiolesterase activity,ubiquitin-dependent protein catabolic process,null,,,
PBANKA_091060,"ubiquitin-related modifier 1, putative (URM1)",,,,PF3D7_1138100,ubiquitin related modifier homologue,proteasome,1,0,1,na,null,null,null,null,null,null
PBANKA_102290,"zinc finger protein, putative",,,,PF3D7_1420300,"zinc finger protein, putative",transporter,1,0,1,na,null,null,null,null,null,null
PBANKA_123760,"zinc finger protein, putative, fragment",,-1.78,0.7,PF3D7_0522900,"zinc finger protein, putative",RNA binding,1,0,1,na,"nucleic acid binding, zinc ion binding",null,null,,,
PBANKA_071430,small heat shock protein HSP20 (HSP20),,-4.76,0.75,PF3D7_0816500,"small heat shock protein HSP20, putative (HSP20)",chaperone,0,1,1,"different in fertilization, ookinete, sporozoite and liver stage; (tagged) different in oocyst too",null,null,plasma membrane,,,
PBANKA_123400,"vacuolar ATP synthetase, putative",,,,PF3D7_0519200,vacuolar ATP synthetase,vacuolar ATP synthase,0,1,1,na,hydrogen ion transmembrane transporter activity,ATP synthesis coupled proton transport,"proton-transporting V-type ATPase, V0 domain",,,
PBANKA_090890,"vacuolar ATP synthase subunit f, putative",,,,PF3D7_1140100,"vacuolar ATP synthase subunit f, putative",vacuolar ATP synthase,0,1,1,na,"hydrogen ion transporting ATP synthase activity, rotational mechanism, proton-transporting ATPase activity, rotational mechanism",ATP synthesis coupled proton transport,"proton-transporting V-type ATPase, V1 domain",,,
PBANKA_093200,"rhoptry neck protein 4, putative (RON4)",,,,PF3D7_1116000,rhoptry neck protein 4 (RON4),,1,0,1,(mutated) different in sporozoite and liver stage,null,null,rhoptry,,,
PBANKA_133830,"60S ribosomal protein L6, putative",,,,PF3D7_1323100,"60S ribosomal protein L6, putative",ribosome,1,0,1,na,"rRNA binding, structural constituent of ribosome",translation,ribosome,,,
PBANKA_144620,"DIM1 protein homolog, putative",,,,PF3D7_1231500,"DIM1 protein homolog, putative",ribosome assembly,0,1,1,na,null,mitosis,spliceosomal complex,,,
PBANKA_131780,"tRNA intron endonuclease, putative",,,,PF3D7_1454100,"tRNA intron endonuclease, putative",translation,0,1,1,na,tRNA-intron endonuclease activity,"tRNA splicing, via endonucleolytic cleavage and ligation",tRNA-intron endonuclease complex,,,
PBANKA_000340,BIR protein,,,,,,BIR protein,0,0,0,na,null,null,null,,,
PBANKA_000380,BIR protein,,,,,,BIR protein,0,0,0,na,null,null,null,,,
PBANKA_000490,"conserved rodent malaria protein, unknown function",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_000570,BIR protein,,,,,,BIR protein,0,0,0,na,null,null,null,,,
PBANKA_010060,schizont membrane associated cytoadherence protein (SMAC),,,,,,,0,0,0,na,null,"cytoadherence to microvasculature, mediated by symbiont protein",host cell cytoplasm,,,
PBANKA_010070,"Plasmodium exported protein, unknown function",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_010080,"conserved Plasmodium protein, unknown function",,,,PF3D7_0602000,"conserved Plasmodium protein, unknown function",microtubule,0,0,0,na,null,null,null,,,
PBANKA_010270,"conserved Plasmodium protein, unknown function",,,,PF3D7_0603900,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_010410,"aurora-related kinase 1, putative (ARK1)",,,,PF3D7_0605300,serine/threonine protein kinase (ARK1),kinase,0,0,0,KO not successful,"ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_010470,"long chain polyunsaturated fatty acid elongation enzyme, putative",,,,PF3D7_0605900,"long chain polyunsaturated fatty acid elongation enzyme, putative",fatty acids synth,0,0,0,na,null,null,integral to membrane,,,
PBANKA_010560,"translation initiation factor IF-2, putative",,,,PF3D7_0607000,"translation initiation factor IF-2, putative",translation,0,0,0,na,"GTP binding, GTPase activity",null,null,,,
PBANKA_010860,"Pre-mRNA-splicing factor SLU7, putative (SLU7)",,,,PF3D7_0610100,"Pre-mRNA-splicing factor SLU7, putative (SLU7)",mRNA,0,0,0,na,null,null,null,,,
PBANKA_010870,"conserved Plasmodium protein, unknown function",,-1.9,0.73,PF3D7_0610200,"conserved Plasmodium protein, unknown function",mRNA,0,0,0,na,nucleic acid binding,mRNA processing,null,,,
PBANKA_011000,"60S ribosomal protein L39, putative",,,,PF3D7_0611700,"60S ribosomal protein L39, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_011030,"conserved Plasmodium protein, unknown function",,,,PF3D7_0612000,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_011050,leucine-rich repeat protein (LRR6),,-2.6,0.72,PF3D7_0612200,leucine-rich repeat protein (LRR6),kinase,0,0,0,na,protein binding,null,null,,,
PBANKA_011130,"conserved Plasmodium protein, unknown function",,,,PF3D7_0613000.1/2,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_020020,Pb-fam-1 protein,,,,,,Pb-fam-1 protein,0,0,0,na,null,null,null,,,
PBANKA_020090,"conserved rodent malaria protein, unknown function",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_020160,early transcribed membrane protein (ETRAMP),,,,,,early transcribed membrane protein (ETRAMP),0,0,0,na,null,null,null,,,
PBANKA_020190,"conserved Plasmodium protein, unknown function",,,,PF3D7_0111900,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_020420,"tubulin-specific chaperone a, putative",,,,PF3D7_0109400,"tubulin-specific chaperone a, putative",chaperone,0,0,0,na,unfolded protein binding,tubulin complex assembly,microtubule,,,
PBANKA_020470,"conserved Plasmodium protein, unknown function",,,,PF3D7_0108800,"conserved Plasmodium protein, unknown function",transporter,0,0,0,na,binding,transport,membrane,,,
PBANKA_020510,"mitochondrial carrier protein, putative",,,,PF3D7_0108400.1/2,"mitochondrial carrier protein, putative",transporter,0,0,0,na,binding,transport,mitochondrial inner membrane,,,
PBANKA_020580,"serine/threonine protein kinase, putative (IK2)",,,,PF3D7_0107600,"serine/threonine protein kinase, putative, EIK2",kinase,0,0,0,"different in fertilization, ookinete, oocyst, sporozoite and liver stage (contradictory results)","ATP binding, protein serine/threonine kinase activity",protein phosphorylation,null,,,
PBANKA_020630,"centrin, putative",,,,PF3D7_0107000,centrin-1 (CEN1),chromatin,0,0,0,na,calcium ion binding,null,null,,,
PBANKA_020650,"Rab5c, GTPase, putative",,,,PF3D7_0106800,Rab GTPase 5c (RAB5c),trafficking,0,0,0,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_020720,"vacuolar ATP synthase subunit c, putative",,,,PF3D7_0106100,"vacuolar ATP synthase subunit c, putative",vacuolar ATP synthase,0,0,0,na,"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",ATP synthesis coupled proton transport,"proton-transporting V-type ATPase, V1 domain",,,
PBANKA_020760,"asparagine-rich antigen, putative",,,,,,,0,0,0,na,null,null,null,,,
PBANKA_020930,actin-related protein (ARP1),,,,PF3D7_0103800,actin-related protein (ARP1),gliding motility,0,0,0,KO not successful,protein binding,null,null,,,
PBANKA_021120,"conserved Plasmodium protein, unknown function",,,,PF3D7_0727100,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_021210,"eukaryotic translation initiation factor 2 alpha subunit, putative",,,,PF3D7_0728000,"eukaryotic translation initiation factor 2 alpha subunit, putative",translation,0,0,0,na,"RNA binding, translation initiation factor activity",translation,eukaryotic translation initiation factor 2 complex,,,
PBANKA_021300,"RNA-binding protein, putative",,,,PF3D7_0728900,"RNA binding protein, putative",mRNA,0,0,0,na,nucleic acid binding,null,null,,,
PBANKA_021310,"signal recognition particle subunit srp9, putative (SRP9)",,,,PF3D7_0729000,signal recognition particle SRP9 (SRP9),post-translational modification,0,0,0,na,"7S RNA binding, protein binding","SRP-dependent cotranslational protein targeting to membrane, negative regulation of translational elongation",signal recognition particle,,,
PBANKA_030060,"Plasmodium exported protein, unknown function",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_030110,"conserved Plasmodium protein, unknown function",,-2.99,0.75,PF3D7_0203200,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_030120,"ERCC1 nucleotide excision repair protein, putative",,,,PF3D7_0203300,"ERCC1 nucleotide excision repair protein, putative",DNA repair,0,0,0,na,"damaged DNA binding, endonuclease activity",DNA repair,nucleus,,,
PBANKA_030150,"nucleolar preribosomal assembly protein, putative",,,,PF3D7_0203700,"nucleolar preribosomal assembly protein, putative",ribosome assembly,0,0,0,na,null,null,null,,,
PBANKA_030250,hexose transporter (HT),,,,PF3D7_0204700,hexose transporter (HT),glycolysis,0,0,0,"KO not successful; (tagged) different in fertilization, ookinete, oocyst, sporozoite and liver stage; (mutated) not different from wild type",substrate-specific transmembrane transporter activity,"transmembrane transport, transport","integral to membrane, membrane",,,
PBANKA_030620,"phospholipase A2, putative",,,,PF3D7_0209100,"phospholipase A2, putative",utilization phospholipids,0,0,0,na,null,lipid metabolic process,null,,,
PBANKA_030680,"ATP-dependent RNA helicase UAP56, putative (UAP56)",,,,PF3D7_0209800,ATP-dependent RNA helicase UAP56 (UAP56),mRNA,0,0,0,na,"ATP binding, ATP-dependent helicase activity, helicase activity, nucleic acid binding",null,null,,,
PBANKA_031020,"conserved Plasmodium protein, unknown function",,,,PF3D7_0213300,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_031190,"RING zinc finger protein, putative",,,,PF3D7_0215100,"RING zinc finger protein, putative",proteasome,0,0,0,na,"protein binding, zinc ion binding",null,null,,,
PBANKA_031240,"DNA-directed RNA polymerase II second largest subunit, putative",,,,PF3D7_0215700,"DNA-directed RNA polymerase II second largest subunit, putative",transcription,0,0,0,na,"DNA binding, DNA-directed RNA polymerase activity, ribonucleoside binding","transcription, DNA-dependent",null,,,
PBANKA_031250,"origin recognition complex subunit 5, putative (ORC5)",,,,PF3D7_0215800,origin recognition complex subunit 5 (ORC5),DNA replication,0,0,0,na,null,null,null,,,
PBANKA_031410,"conserved Plasmodium protein, unknown function",,,,PF3D7_0217400,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_031420,calcium dependent protein kinase 1 (CDPK1),,,,PF3D7_0217500,calcium dependent protein kinase 1 (CDPK1),kinase,0,0,0,different in oocyst; (mutated) fertilization and ookinete; (tagged) also in sporozoite,"ATP binding, calcium ion binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_031450,"40S ribosomal protein S26e, putative",,,,PF3D7_0217800,"40S ribosomal protein S26e, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_031560,"40S ribosomal protein S30, putative",,,,PF3D7_0219200,"40S ribosomal protein S30, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_031600,"replication factor C subunit 1, putative",,,,PF3D7_0219600,"replication factor C subunit 1, putative",DNA replication,0,0,0,na,"ATP binding, DNA clamp loader activity",DNA replication,"DNA replication factor C complex, intracellular",,,
PBANKA_031620,"Plasmodium exported protein, unknown function, fragment",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_040040,"BIR protein, pseudogene",,,,,,BIR protein,0,0,0,na,null,null,null,,,
PBANKA_040230,"dihydrolipoamide acyltransferase, putative",,,,PF3D7_0303700,"dihydrolipoamide acyltransferase, putative","glycolysis, TCA",0,0,0,na,"transferase activity, transferring acyl groups",metabolic process,null,,,
PBANKA_040300,"60S ribosomal protein L44, putative",,,,PF3D7_0304400,"60S ribosomal protein L44, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_040340,"conserved Plasmodium protein, unknown function",,,,PF3D7_0304900,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_040410,"AP endonuclease (DNA-(apurinic or apyrimidinic site) lyase), putative",,,,PF3D7_0305600,"AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative",DNA repair,0,0,0,na,nuclease activity,DNA repair,null,,,
PBANKA_040440,"conserved Plasmodium protein, unknown function",,,,PF3D7_0306000,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_040530,"40S ribosomal protein S23, putative",,,,PF3D7_0306900,"40S ribosomal protein S23, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome, small ribosomal subunit",,,
PBANKA_040550,"60S ribosomal protein L7, putative",,,,PF3D7_0307200,"60S ribosomal protein L7, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, large ribosomal subunit, ribosome",,,
PBANKA_040570,"ATP-dependent Clp protease proteolytic subunit, putative (ClpP)",,,,PF3D7_0307400,ATP-dependent Clp protease proteolytic subunit (ClpP),chaperone,0,0,0,na,serine-type endopeptidase activity,proteolysis,apicoplast,,,
PBANKA_040600,"conserved Plasmodium protein, unknown function",,,,PF3D7_0307700,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,DNA binding,null,null,,,
PBANKA_040650,"TCP-1/cpn60 chaperonin, putative",,,,PF3D7_0308200,"TCP-1/cpn60 chaperonin family, putative",chaperone,0,0,0,na,"ATP binding, unfolded protein binding",protein folding,null,,,
PBANKA_040770,"60S acidic ribosomal protein P2, putative",,,,PF3D7_0309600,"60S acidic ribosomal protein P2, putative",ribosome,0,0,0,KO not successful,structural constituent of ribosome,translational elongation,"intracellular, ribosome",,,
PBANKA_040930,"phosphatidylinositol 3- and 4-kinase, putative",,,,PF3D7_0311300,"phosphatidylinositol 3- and 4-kinase, putative",inositol phosphate metabolism,0,0,0,na,"phosphotransferase activity, alcohol group as acceptor",null,null,,,
PBANKA_040940,"protein kinase, putative (PKRP)",,,,PF3D7_0311400,"protein kinase, putative",kinase,0,0,0,"different in fertilization, ookinete, oocyst, sporozoite and liver stage","ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_041000,"conserved Plasmodium protein, unknown function",,,,PF3D7_0312000,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_041130,"conserved Plasmodium protein, unknown function",,,,PF3D7_0313600,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_041310,"conserved Plasmodium protein, unknown function",,,,,,RNA,0,0,0,na,null,microtubule cytoskeleton organization,"microtubule organizing center, spindle pole",,,
PBANKA_041460,"40S ribosomal protein S15A, putative",,,,PF3D7_0316800,"40S ribosomal protein S15A, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_041480,arginase,,,,PF3D7_0906500,arginase,AA metabolism,0,0,0,na,"arginase activity, metal ion binding",arginine metabolic process,null,,,
PBANKA_041660,"replication protein A1, small fragment",,,,PF3D7_0904800,"replication protein A1, small fragment",DNA repair,0,0,0,na,nucleic acid binding,null,null,,,
PBANKA_041740,"GTPase activating protein, putative",,-1.86,0.73,PF3D7_0904000,"GTPase activator, putative",trafficking,0,0,0,na,Rab GTPase activator activity,regulation of Rab GTPase activity,intracellular,,,
PBANKA_041750,"60S ribosomal protein L32, putative",,,,PF3D7_0903900,"60S ribosomal protein L32, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_041770,alpha tubulin 1,,,,PF3D7_0903700,alpha tubulin 1,gliding motility,0,0,0,KO not successful,"GTP binding, GTPase activity, structural molecule activity","microtubule-based movement, protein polymerization","microtubule, protein complex",,,
PBANKA_050070,Pb-fam-1 protein,,,,,,Pb-fam-1 protein,0,0,0,na,null,null,null,,,
PBANKA_050110,early transcripted membrane protein (SEP3),,,,,,early transcribed membrane protein (ETRAMP),0,0,0,"KO not successful; (tagged) fertilization, ookinete and oocyst",null,null,null,,,
PBANKA_050170,"phosphomannomutase, putative",,,,PF3D7_1017400,"phosphomannomutase, putative",mannose metabolism,0,0,0,na,phosphomannomutase activity,mannose biosynthetic process,cytoplasm,,,
PBANKA_050250,"serine/threonine protein phosphatase, putative",,-3.02,0.74,PF3D7_1018200,"serine/threonine protein phosphatase, putative",phosphatase,0,0,0,na,hydrolase activity,null,null,,,
PBANKA_050280,"conserved Plasmodium protein, unknown function",,,,PF3D7_1018600,"conserved Plasmodium protein, unknown function",translation,0,0,0,na,null,null,null,,,
PBANKA_050350,"conserved Plasmodium protein, unknown function",,-2.08,0.71,PF3D7_1019300,"zinc finger protein, putative",nucleic acid binding,0,0,0,na,"nucleic acid binding, zinc ion binding",null,null,,,
PBANKA_050360,"60S ribosomal protein L30e, putative",,,,PF3D7_1019400,"60S ribosomal protein L30e, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_050440,"conserved Plasmodium protein, unknown function",,,,PF3D7_1020200,"kinesin, putative",dynein/kinesin,0,0,0,na,null,null,null,,,
PBANKA_050510,"ADP-ribosylation factor, putative (ARF1)",,,,PF3D7_1020900,ADP-ribosylation factor (ARF1),trafficking,0,0,0,na,GTP binding,"intracellular protein transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_050540,"conserved Plasmodium protein, unknown function",,,,PF3D7_1021200,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_050580,"deoxyribose-phosphate aldolase, putative",,,,PF3D7_1021600,"deoxyribose-phosphate aldolase, putative",gliding motility,0,0,0,na,deoxyribose-phosphate aldolase activity,deoxyribonucleotide catabolic process,cytoplasm,,,
PBANKA_050630,"conserved Plasmodium protein, unknown function",,,,PF3D7_1022100,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_050660,"pre-mRNA splicing factor, putative",,-2.25,0.75,PF3D7_1022400,"pre-mRNA splicing factor, putative",mRNA,0,0,0,na,nucleic acid binding,null,null,,,
PBANKA_050670,"citrate synthase, mitochondrial precursor, putative",,,,PF3D7_1022500,"citrate synthase, mitochondrial precursor, putative",TCA,0,0,0,(tagged) different in oocyst and liver stage,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",cellular carbohydrate metabolic process,null,,,
PBANKA_050810,"chromodomain-helicase-DNA-binding protein 1, putative (CHD1)",,,,PF3D7_1023900,"chromodomain-helicase-DNA-binding protein 1 homolog, putative (CHD1)",chromatin,0,0,0,KO not successful,"ATP binding, DNA binding, chromatin binding, helicase activity",chromatin assembly or disassembly,"chromatin, nucleus",,,
PBANKA_050860,"conserved Plasmodium protein, unknown function",,,,PF3D7_1024400,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_050920,"formin 2, putative",,,,PF3D7_1025000,"formin 2, putative",gliding motility,0,0,0,na,null,null,null,,,
PBANKA_050930,"glucosamine--fructose-6-phosphate aminotransferase, putative",,,,PF3D7_1025100,"glucosamine-fructose-6-phosphate aminotransferase, putative",chitin precursor,0,0,0,na,carbohydrate binding,carbohydrate metabolic process,null,,,
PBANKA_051010,"conserved Plasmodium protein, unknown function",,,,PF3D7_1025900,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_051020,"conserved Plasmodium protein, unknown function",,,,PF3D7_1026000,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_051060,"conserved Plasmodium protein, unknown function",,,,PF3D7_1026400,"CDH1, WD-repeat protein, putative",kinetochore,0,0,0,different in fertilization and ookinete,null,cytokinesis,nucleus,,,
PBANKA_051080,"conserved Plasmodium protein, unknown function",,,,none,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_051090,"40S ribosomal protein S2B, putative",,,,PF3D7_1026800,"40S ribosomal protein S2B, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome, small ribosomal subunit",,,
PBANKA_051120,"u3 small nucleolar ribonucleoprotein protein mpp10, putative (MPP10)",,,,PF3D7_1027100,"small subunit rRNA processing stabilizing factor, putative",RNA,0,0,0,na,null,null,null,,,
PBANKA_051180,"centrin-3, putative",,,,PF3D7_1027700.2,centrin-3,chromatin,0,0,0,na,calcium ion binding,null,null,,,
PBANKA_051190,"60S ribosomal protein L3, putative",,,,PF3D7_1027800,"60S ribosomal protein L3, putative",ribosome,0,0,0,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_051270,"conserved Plasmodium protein, unknown function",,,,PF3D7_1028600,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_051280,"merozoite TRAP-like protein, putative (MTRAP)",,,,PF3D7_1028700,merozoite TRAP-like protein (MTRAP),contaminant,0,0,0,na,null,null,null,,,
PBANKA_051430,"conserved Plasmodium protein, unknown function",,-1.9,0.73,PF3D7_1030300,"conserved Plasmodium protein, unknown function",unknown function,0,0,0,na,null,null,null,,,
PBANKA_051540,"conserved Plasmodium protein, unknown function",,,,PF3D7_1031600,"conserved Plasmodium protein, unknown function (GEXP15)",unknown function,0,0,0,na,null,null,null,,,
PBANKA_051630,"DER1-like protein, putative",,,,PF3D7_1032500,"DER1-like protein, putative (Der1-2)",proteasome,0,0,0,na,null,null,null,,,
PBANKA_051660,leucine-rich repeat protein (LRR1),,,,PF3D7_1032800,leucine-rich repeat protein (LRR1),signal transduction,0,0,0,na,protein binding,null,null,,,
PBANKA_051690,"S-adenosylmethionine decarboxylase, putative",,,,PF3D7_1033100,S-adenosylmethionine decarboxylase/ornithine decarboxylase (AdoMetDC/ODC),polyamine biosynthesis,0,0,0,na,adenosylmethionine decarboxylase activity,"spermidine biosynthetic process, spermine biosynthetic process",null,,,
PBANKA_051700,early transcribed membrane protein (ETRAMP),,,,,,early transcribed membrane protein (ETRAMP),0,0,0,na,null,null,null,,,
PBANKA_051740,"myb2 transcription factor, putative (Myb2)",,,,PF3D7_1033600,"myb2 transcription factor, putative (Myb2)",transcription,0,0,0,na,DNA binding,null,null,,,
PBANKA_051750,"bromodomain protein, putative",,,,PF3D7_1033700,"bromodomain protein, putative",chromatin,0,0,0,na,null,null,nucleus,,,
PBANKA_051820,"flavoprotein subunit of succinate dehydrogenase, putative",,,,PF3D7_1034400,flavoprotein subunit of succinate dehydrogenase (SDHA),"TCA, redoxmeth",0,0,0,"different in fertilization, ookinete and oocyst","electron carrier activity, flavin adenine dinucleotide binding, oxidoreductase activity, acting on the CH-CH group of donors","electron transport chain, oxidation-reduction process, tricarboxylic acid cycle",null,,,
PBANKA_051900,"S-antigen, putative",,,,,,,0,0,0,na,null,null,null,,,
PBANKA_051960,"conserved Plasmodium protein, unknown function",,,,,,unknown function,0,0,0,na,null,null,null,,,
PBANKA_052020,"ADP/ATP transporter on adenylate translocase, putative",,,,PF3D7_1037300,ADP/ATP transporter on adenylate translocase,transporter,0,0,0,na,"binding, transporter activity",transport,mitochondrial inner membrane,,,
PBANKA_052120,"conserved Plasmodium protein, unknown function",,,,PF3D7_1038300,"conserved Plasmodium protein, unknown function",RNA,0,0,0,na,null,null,null,,,
